ts_code,company_name,year,debt_to_assets,current_ratio,roe,roa,assets_turn,grossprofit_margin,netprofit_margin,profit_to_gr,interest_coverage_w,high_credit_risk,credit_risk_score
000002.SZ,万科Ａ,2020,81.2835,1.1745,20.1254,4.6541,0.2329,29.2454,14.1485,14.1485,6.8985,0,0.5472931392931393
000002.SZ,万科Ａ,2021,79.7398,1.2202,9.7832,2.9552,0.2378,21.8245,8.4076,8.4076,5.2375,0,0.5633243243243243
000002.SZ,万科Ａ,2022,76.9515,1.3132,9.4508,2.9602,0.2727,19.5537,7.453,7.453,5.7877,0,0.5277629937629937
000002.SZ,万科Ａ,2023,73.2243,1.3997,4.9294,1.9955,0.2856,15.235,4.3921,4.3921,2.6761,0,0.5548565488565488
000002.SZ,万科Ａ,2024,73.6558,1.276,-21.823,-2.9938,0.2459,10.1731,-14.1921,-14.1921,-3.2035,1,0.7949854469854469
000006.SZ,深振业Ａ,2020,49.2185,2.8321,12.2644,7.8913,0.1882,46.592,30.7657,30.7657,8.6836,0,0.17545114345114343
000006.SZ,深振业Ａ,2021,65.322,2.1175,7.2177,4.8396,0.1582,43.4295,17.9206,17.9206,4.9302,0,0.31942619542619544
000006.SZ,深振业Ａ,2022,67.9176,2.0251,5.3979,3.7231,0.148,38.632,12.1099,12.1099,4.6982,0,0.36935550935550937
000006.SZ,深振业Ａ,2023,71.2887,1.735,-10.7927,-1.3205,0.1074,39.1101,-32.0827,-32.0827,-1.8457,1,0.6735488565488565
000006.SZ,深振业Ａ,2024,66.9658,2.0104,-25.3454,-7.3544,0.2811,8.0094,-28.8782,-28.8782,-11.2389,1,0.6457463617463617
000014.SZ,沙河股份,2020,60.8096,1.69,0.49,1.126,0.1574,37.8775,2.635,2.635,1.0883,1,0.5356403326403327
000014.SZ,沙河股份,2021,60.8645,1.5786,3.8877,2.6506,0.2581,36.8881,7.6339,7.6339,3.6343,0,0.4109480249480249
000014.SZ,沙河股份,2022,59.228,1.5274,23.260623999999996,12.0208,0.2762,40.7231,32.4837,32.4837,18.1168,0,0.25190644490644487
000014.SZ,沙河股份,2023,31.9088,2.7961,23.260623999999996,12.028704,0.5049,66.5905,37.7471,37.7471,79.51361199999998,0,0.04824324324324325
000029.SZ,深深房Ａ,2022,24.6623,3.7212,3.8708,3.5425,0.1069,31.1061,23.5783,23.5783,12.8379,0,0.12581912681912683
000031.SZ,大悦城,2020,77.1622,1.5237,-2.0488,2.3284,0.2007,31.4435,2.9203,2.9203,3.3413,0,0.6266881496881496
000031.SZ,大悦城,2021,75.5127,1.5253,0.5782,2.0933,0.2066,27.4365,1.8009,1.8009,3.0896,0,0.6016403326403326
000031.SZ,大悦城,2022,77.8465,1.522,-16.8383,0.6447,0.1853,24.0589,-5.6158,-5.6158,0.7614,1,0.7623014553014552
000031.SZ,大悦城,2023,76.7269,1.5136,-10.0215,2.5431,0.1783,26.4691,0.3299,0.3299,2.446,0,0.6667900207900208
000031.SZ,大悦城,2024,76.73,1.5376,-24.3614,1.0461,0.1901,21.7633,-7.1508,-7.1508,0.9324,1,0.7401871101871101
000036.SZ,华联控股,2022,32.2254,2.9992,8.4812,8.6782,0.2491,51.8517,25.5655,25.5655,28.822,0,0.09540124740124742
000036.SZ,华联控股,2024,24.505208,3.896775999999999,0.7779,1.1133,0.0531,48.5833,11.901,11.901,17.9992,0,0.13969854469854465
000042.SZ,中洲控股,2020,81.5569,1.8017,3.6468,2.3873,0.2388,27.2498,1.4954,1.4954,0.8456,1,0.6762889812889813
000042.SZ,中洲控股,2021,80.1428,1.9358,2.587,1.1964,0.202,29.542,0.753,0.753,0.4919,1,0.673018711018711
000042.SZ,中洲控股,2022,77.605,1.7238,0.9865,2.3786,0.1813,35.8012,0.1271,0.1271,0.8786,1,0.6857941787941788
000042.SZ,中洲控股,2023,81.9805,1.7574,-26.658,-3.2629,0.2254,34.2317,-27.7659,-27.7659,-1.2641,1,0.7931455301455301
000042.SZ,中洲控股,2024,89.9756,1.3768,-44.9288,-5.1155,0.1404,35.812,-57.9514,-57.9514,-2.0432,1,0.9047193347193347
000069.SZ,华侨城Ａ,2020,75.826,1.6177,17.255,5.7279,0.1958,49.8642,19.2052,19.2052,11.6769,0,0.4016049896049895
000069.SZ,华侨城Ａ,2021,74.8394,1.5962,4.7608,2.7339,0.219,26.1453,6.9717,6.9717,5.5355,0,0.4826049896049896
000069.SZ,华侨城Ａ,2022,74.3891,1.6247,-14.5344,-1.6538,0.1759,22.8359,-16.631,-16.631,-2.7079,1,0.7420582120582121
000069.SZ,华侨城Ａ,2023,76.8119,1.6134,-9.9262,-0.7566,0.1459,18.9713,-15.1317,-15.1317,-1.007,1,0.752966735966736
000069.SZ,华侨城Ａ,2024,76.4252,1.4468,-15.0463,-1.0232,0.1565,13.0548,-17.8668,-17.8668,-0.9824,1,0.7775841995841996
000402.SZ,金融街,2020,76.4757,2.2431,7.0275,1.1988,0.1094,32.8601,12.2423,12.2423,1.5972,0,0.524929313929314
000402.SZ,金融街,2021,74.15,2.2526,4.4692,2.3991,0.1446,21.4471,6.5459,6.5459,1.1526,1,0.5337713097713097
000402.SZ,金融街,2022,72.2819,2.4451,2.2554,1.5466,0.129,15.6431,3.1575,3.1575,0.8142,1,0.5458607068607069
000402.SZ,金融街,2023,72.1483,3.1781,-5.2678,-0.5689,0.0845,7.3416,-17.1559,-17.1559,-0.3135,1,0.5857401247401247
000402.SZ,金融街,2024,77.308,3.0431,-36.447,-6.9234,0.1434,3.70658,-60.5828,-60.5828,-3.6247,1,0.7075966735966734
000514.SZ,渝开发,2020,49.8147,1.994,4.0293,2.7158,0.0882,40.5777,21.6635,21.6635,5.0852,0,0.29154469854469856
000514.SZ,渝开发,2021,52.1048,2.1066,4.7099,3.6025,0.1481,39.4161,17.0459,17.0459,6.2658,0,0.270016632016632
000514.SZ,渝开发,2022,43.59,2.244,4.5394,3.136,0.1137,34.8502,17.4977,17.4977,5.4658,0,0.24123076923076925
000514.SZ,渝开发,2023,46.197,2.1009,2.8543,2.2114,0.1724,36.6062,7.0969,7.0969,4.4437,0,0.30234927234927234
000514.SZ,渝开发,2024,44.1274,2.1531,-3.0862,-1.5034,0.0491,22.9005,-33.2452,-33.2452,-2.288,1,0.5032993762993763
000517.SZ,荣安地产,2020,84.4589,1.3927,23.260623999999996,4.3263,0.2074,26.5941,15.9042,15.9042,51.6525,0,0.4697505197505197
000517.SZ,荣安地产,2021,82.2551,1.3418,12.5268,2.3758,0.2405,18.3436,6.3767,6.3767,12.246,0,0.521043659043659
000517.SZ,荣安地产,2022,85.2899,1.2655,6.8889,1.713,0.1806,19.9804,5.8008,5.8008,16.0755,0,0.5567463617463617
000517.SZ,荣安地产,2023,80.0083,1.2875,4.028,1.601,0.3672,10.329,1.5522,1.5522,15.3223,0,0.5384573804573805
000517.SZ,荣安地产,2024,65.9869,1.6234,-24.0639,-4.2417,0.5499639999999999,3.9095,-7.7083,-7.7083,-13.2128,1,0.6809708939708939
000573.SZ,粤宏远Ａ,2020,49.3365,1.4532,-7.0431,-2.9805,0.2734,24.0612,-14.5715,-14.5715,-2.2204,1,0.60791683991684
000573.SZ,粤宏远Ａ,2021,33.2344,1.7925,8.6477,7.7479,0.4314,34.5126,11.24,11.24,6.7687,0,0.22578378378378378
000573.SZ,粤宏远Ａ,2022,35.7661,1.7811,2.4939,2.0198,0.3738,9.7904,3.6172,3.6172,3.3727,0,0.3300893970893971
000573.SZ,粤宏远Ａ,2023,28.8792,3.0106,3.9745,2.9971,0.1432,14.155,17.4638,17.4638,5.9422,0,0.18008316008316005
000573.SZ,粤宏远Ａ,2024,28.5153,3.7733,-2.9315,-1.6117,0.2136,8.7616,-9.6261,-9.6261,-3.573,1,0.42748440748440747
000620.SZ,盈新发展,2020,83.4508,0.9407,-17.6907,0.5566,0.1369,24.7076,-17.3199,-17.3199,0.226,1,0.8843243243243244
000620.SZ,盈新发展,2021,89.9396,0.7994,-84.0183,-3.901,0.1839,18.6094,-44.3797,-44.3797,-1.1893,1,0.9452182952182953
000620.SZ,盈新发展,2022,95.101728,0.685184,-127.365696,-2.8369,0.1275,20.7073,-64.7415,-64.7415,-0.5895,1,0.9505135135135135
000620.SZ,盈新发展,2023,59.5053,1.3933,15.1834,9.7758,0.1433,8.9939,3.5427,3.5427,1.1921,1,0.47879417879417874
000620.SZ,盈新发展,2024,56.2855,1.4173,-10.3881,-2.7185,0.2255,25.3937,-21.997,-21.997,-2.9847,1,0.6437920997920998
000718.SZ,苏宁环球,2020,45.5319,1.9854,12.4828,9.4318,0.2526,61.9723,23.627,23.627,14.2196,0,0.18674428274428273
000718.SZ,苏宁环球,2021,41.1897,2.4802,7.165,6.3637,0.1904,58.2725,20.1163,20.1163,9.7387,0,0.17934927234927234
000718.SZ,苏宁环球,2022,36.4664,2.4211,3.9059,3.4323,0.1452,62.4967,16.1769,16.1769,4.0712,0,0.2518295218295218
000718.SZ,苏宁环球,2023,35.2868,2.5956,1.9278,2.4468,0.1394,59.6035,8.3961,8.3961,3.6194,0,0.27268191268191266
000718.SZ,苏宁环球,2024,32.644,2.8616,1.7571,1.6651,0.1448,46.1036,7.8128,7.8128,3.4519,0,0.26254469854469853
000797.SZ,中国武夷,2020,74.763,1.651,5.2344,3.4906,0.2668,37.6247,8.425,8.425,10.4521,0,0.43538669438669436
000797.SZ,中国武夷,2021,73.5968,1.5707,1.0208,2.1431,0.3886,18.0893,1.7799,1.7799,4.9988,0,0.5175800415800416
000797.SZ,中国武夷,2022,75.1196,1.571,0.5913,2.6143,0.3314,24.2994,2.0223,2.0223,3.1158,0,0.5849064449064448
000797.SZ,中国武夷,2023,74.9482,1.6085,0.7652,4.3359,0.4136,37.4212,4.6408,4.6408,3.7504,0,0.5581787941787942
000797.SZ,中国武夷,2024,74.7682,1.6815,0.488,2.7792,0.2888,24.5579,2.6918,2.6918,4.7171,0,0.533049896049896
000863.SZ,三湘印象,2020,51.6123,1.959,5.5673,3.2744,0.4348,14.9477,4.2661,4.2661,4.9085,0,0.29061954261954265
000863.SZ,三湘印象,2021,40.3229,2.7518,2.3957,2.3435,0.359,18.7579,0.916,0.916,3.2975,0,0.2812141372141372
000863.SZ,三湘印象,2022,40.4741,2.4479,0.6637,1.7622,0.1925,47.4498,0.4547,0.4547,5.4636,0,0.27174844074844073
000863.SZ,三湘印象,2023,41.9219,2.0354,0.0276,-0.1587,0.1586,48.7198,-3.8241,-3.8241,-0.7994,1,0.48413929313929316
000863.SZ,三湘印象,2024,33.9289,2.6667,0.4303,1.0093,0.184,49.7987,-3.2351,-3.2351,3.8127,0,0.28835966735966734
000926.SZ,福星股份,2020,76.5836,1.3538,2.7524,1.6189,0.1449,20.7838,3.8775,3.8775,0.5349,1,0.7194158004158004
000926.SZ,福星股份,2021,74.4215,1.3872,1.5328,1.8818,0.2484,19.4359,2.8409,2.8409,0.8463,1,0.6907713097713097
000926.SZ,福星股份,2022,67.6982,1.5189,0.9347,2.0837,0.3488,20.6388,0.9337,0.9337,0.9458,1,0.6050977130977131
000926.SZ,福星股份,2023,64.6082,1.4974,0.5852,1.5165,0.1465,25.8294,1.8753,1.8753,0.8975,1,0.595006237006237
000926.SZ,福星股份,2024,63.2595,1.7152,-24.1624,-6.9809,0.2693,15.3526,-30.3079,-30.3079,-7.2772,1,0.6504095634095635
000965.SZ,天保基建,2020,45.8349,2.0624,1.7828,2.5526,0.086,59.7733,11.6316,11.6316,2.6074,0,0.35764864864864865
000965.SZ,天保基建,2021,57.7044,1.6391,0.9162,3.186,0.2228,51.2541,1.9499,1.9499,2.0832,0,0.47788565488565493
000965.SZ,天保基建,2022,57.4183,1.6761,0.4285,1.9233,0.1921,31.1449,0.9503,0.9503,1.2607,1,0.513954261954262
000965.SZ,天保基建,2023,51.2779,2.0028,0.3678,1.3882,0.2328,15.2591,0.9305,0.9305,1.3065,1,0.4560956340956341
000965.SZ,天保基建,2024,55.1614,2.0641,0.3095,1.4634,0.1798,21.483,0.2838,0.2838,1.5998,0,0.4445467775467775
001979.SZ,招商蛇口,2020,65.6305,1.5397,12.4892,3.8847,0.1913,28.6881,13.0483,13.0483,3.2433,0,0.4071143451143451
001979.SZ,招商蛇口,2021,67.6765,1.5256,9.8764,3.1037,0.2016,25.4725,9.463,9.463,3.0433,0,0.437022869022869
001979.SZ,招商蛇口,2022,67.9132,1.5456,4.0536,1.9551,0.21,19.2501,4.9718,4.9718,2.1115,0,0.5129085239085239
001979.SZ,招商蛇口,2023,67.3431,1.5585,5.7077,1.6116,0.195,15.8868,5.2033,5.2033,2.2257,0,0.4917609147609148
001979.SZ,招商蛇口,2024,66.6696,1.5898,3.5007,1.2075,0.2023,14.6053,2.3409,2.3409,1.6377,0,0.5131517671517671
002133.SZ,广宇集团,2020,73.3271,1.5965,8.3642,3.1394,0.3647,15.198,6.2647,6.2592,14.0024,0,0.39642827442827444
002133.SZ,广宇集团,2021,76.039,1.5325,8.6494,2.6586,0.416,9.5899,5.0557,5.0518,18.2595,0,0.42341580041580035
002133.SZ,广宇集团,2022,77.4053,1.4604,2.8657,1.0791,0.3025,6.8732,1.9236,1.922,3.8046,0,0.5891476091476092
002133.SZ,广宇集团,2023,66.9897,1.5351,0.9567,1.8328,0.5413,8.5753,1.5131,1.5123,4.8996,0,0.4653264033264033
002133.SZ,广宇集团,2024,68.6987,1.4753,-29.3534,-7.553444,0.387,3.70658,-26.2884,-26.2598,-11.2514,1,0.7336964656964657
002146.SZ,荣盛发展,2020,82.0653,1.4199,17.1998,4.217,0.2633,27.8177,10.8709,10.8709,14.769,0,0.4828939708939709
002146.SZ,荣盛发展,2021,84.4871,1.2433,-11.4998,-0.8666,0.1625,19.5442,-10.5891,-10.5891,-1.5047,1,0.8790228690228689
002146.SZ,荣盛发展,2022,89.9636,1.1097,-51.6833,-5.8047,0.1172,3.70658,-57.9882,-57.9882,-7.5893,1,0.9617380457380458
002146.SZ,荣盛发展,2023,87.1909,1.2123,1.643,2.0737,0.2589,17.8633,2.606,2.606,2.3782,0,0.7425987525987525
002146.SZ,荣盛发展,2024,89.2889,1.1149,-43.9249,-2.8564,0.2068,9.0593,-20.9876,-20.9876,-2.3382,1,0.9382765072765074
002208.SZ,合肥城建,2020,67.8428,1.6007,20.4163,7.7418,0.3108,34.7843,16.7954,16.7954,8.4021,0,0.3316216216216216
002208.SZ,合肥城建,2021,68.4801,1.6401,15.2178,5.9575,0.3667,28.2703,11.9119,11.9119,11.984,0,0.3181829521829522
002208.SZ,合肥城建,2022,71.8788,1.9172,5.318,2.3882,0.1438,26.6668,10.0186,10.0186,5.056,0,0.40814345114345113
002208.SZ,合肥城建,2023,71.3786,1.8031,3.3739,1.8962,0.223,19.2112,5.0407,5.0407,12.776,0,0.37863409563409567
002208.SZ,合肥城建,2024,74.8154,1.6139,-0.8663,1.2413,0.2022,15.6613,1.2432,1.2432,2.6898,0,0.595960498960499
002244.SZ,滨江集团,2020,83.6963,1.397,13.3249,3.7369,0.1896,27.0439,12.4062,12.4062,6.6398,0,0.5468419958419959
002244.SZ,滨江集团,2021,82.3418,1.3396,15.5452,3.8725,0.1979,24.8308,12.9577,12.9577,10.723,0,0.5223243243243243
002244.SZ,滨江集团,2022,80.9119,1.3626,16.9607,2.5776,0.1701,17.4763,9.4057,9.4057,6.4324,0,0.5309854469854469
002244.SZ,滨江集团,2023,79.8454,1.2738,10.3575,1.9565,0.2488,16.758,4.0483,4.0483,11.0046,0,0.5155904365904366
002244.SZ,滨江集团,2024,80.1019,1.2639,9.6376,2.3191,0.2519,12.5384,5.4824,5.4824,14.7081,0,0.508952182952183
002314.SZ,南山控股,2020,77.2606,1.5663,14.5349,6.1643,0.2357,28.3957,14.9273,14.9273,2.6915,0,0.5344968814968816
002314.SZ,南山控股,2021,75.3023,1.2355,10.2467,2.7578,0.181,20.9503,8.3792,8.3792,1.3102,1,0.6300374220374221
002314.SZ,南山控股,2022,73.7155,1.2219,6.8773,2.4164,0.1729,19.2804,6.4318,6.4318,1.2363,1,0.641881496881497
